Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2020-01-05,"3,091","20,202",14.23,9,506,530,47,28,"2,198"
2020-01-06,"2,884","23,300",16.4,28,571,337,79,26,"1,735"
2020-01-07,"2,117","7,890",5.56,0,728,251,0,0,965
2020-01-08,"2,107","8,056",5.65,3,"1,167",262,8,3,885
2020-01-09,"1,891","5,391",3.72,2,"1,254",186,0,0,599
2020-01-10,"2,243","9,920",7,14,771,269,7,6,"1,047"
2020-01-11,"2,424","10,143",7.1,9,521,306,46,5,"1,290"
2020-01-12,"2,011","6,011",4.29,10,762,196,10,7,741
2020-01-13,"2,207","9,378",6.63,13,674,239,10,14,970
2020-01-14,"2,399","10,956",7.63,13,724,187,45,25,"1,139"
2020-01-15,"2,157","9,880",6.95,23,"1,198",210,18,14,921
2020-01-16,"2,184","9,588",6.61,15,"1,181",247,8,4,955
2020-01-17,"2,275","10,675",7.48,24,"1,139",272,18,11,"1,085"
2020-01-18,"2,220","7,927",5.51,15,"1,166",256,13,5,"1,007"
2020-01-19,"2,150","9,630",6.73,7,"1,226",128,53,33,907
2020-01-20,"2,028","7,779",5.47,15,839,215,0,0,767
2020-01-21,"1,919","5,336",3.68,10,830,175,7,0,610
2020-01-22,"2,074","8,587",6,14,"1,249",170,8,13,776
2020-01-23,"2,638","15,248",10.63,8,726,223,81,42,"1,484"
2020-01-24,"2,501","13,455",9.44,11,655,378,0,0,"1,392"
2020-01-25,"1,881","4,142",2.92,0,751,191,0,0,595
2020-01-26,"2,023","6,921",4.83,13,674,169,20,12,761
2020-01-27,"2,047","9,998",6.95,15,787,143,22,27,766
2020-01-28,"1,943","6,813",4.77,6,795,188,9,1,661
2020-01-29,"1,465",406,0.29,0,"1,005",25,0,0,67
2020-01-30,"1,911","5,968",4.16,3,753,198,0,0,636
2020-01-31,"2,279","11,271",7.96,17,729,324,0,0,"1,134"
2020-02-01,"2,319","9,827",6.94,5,657,147,46,54,"1,115"
2020-02-02,"1,527",792,0.56,0,867,47,0,0,136
2020-02-03,"2,031","7,998",5.49,19,881,165,2,10,741
2020-02-04,"1,927","7,594",5.19,12,868,142,15,6,625
2020-02-05,"1,801","6,419",4.42,17,831,80,8,16,462
2020-02-06,"3,014","17,207",12.08,16,"1,090",171,55,124,"1,905"
2020-02-07,"1,801","5,325",3.81,16,"1,351",77,3,9,450
2020-02-08,"1,880","3,758",2.63,7,"1,311",92,11,26,564
2020-02-09,"2,907","13,502",9.58,12,519,157,79,110,"1,783"
2020-02-10,"2,210","11,870",8.29,18,728,196,21,30,985
2020-02-11,"2,215","10,472",7.28,15,739,191,26,21,984
2020-02-12,"1,495",716,0.51,0,854,36,0,0,94
2020-02-13,"2,271","10,080",7.08,12,574,250,25,14,"1,085"
2020-02-14,"2,377","12,908",8.9,22,637,323,3,7,"1,236"
2020-02-15,"1,535",767,0.54,0,879,49,0,0,152
2020-02-16,"1,672",953,0.67,4,"1,343",97,0,0,326
2020-02-17,"2,122","9,928",7.03,22,755,148,27,26,858
2020-02-18,"1,493",944,0.6,1,"1,413",27,0,0,101
2020-02-19,"1,414",0,0,0,"1,440",0,0,0,0
2020-02-20,"1,844","4,591",3.2,12,"1,332",69,10,29,524
2020-02-21,"1,414",0,0,0,"1,440",0,0,0,0
2020-02-22,"1,853","5,457",3.87,4,"1,334",40,33,33,533
2020-02-23,"1,416",8,0.01,0,"1,439",1,0,0,3
2020-02-24,"1,430",95,0.07,0,"1,432",8,0,0,21
2020-02-25,"1,416",7,0,0,"1,440",0,0,0,0
2020-02-26,"1,414",0,0,0,"1,440",0,0,0,0
2020-02-27,"1,426",178,0.13,0,"1,440",0,0,0,0
2020-02-28,"1,414",0,0,0,"1,440",0,0,0,0
2020-02-29,"2,534","14,496",10.13,147,"1,071",338,17,14,"1,268"
2020-03-01,"2,863","20,313",14.31,127,890,500,35,15,"1,927"
2020-03-02,"2,782","22,740",15.96,42,"1,028",328,45,39,"1,732"
2020-03-03,"2,558","19,687",13.86,35,"1,099",230,55,56,"1,431"
2020-03-04,"2,244","11,964",8.43,41,"1,157",239,28,16,"1,068"
2020-03-05,"2,502","17,720",12.36,47,"1,117",247,39,37,"1,362"
2020-03-06,"2,464","12,108",8.55,32,"1,073",300,38,29,"1,366"
2020-03-07,"4,182","15,698",10.91,112,720,397,90,233,"3,429"
2020-03-08,"1,414",0,0,0,"1,440",0,0,0,0
2020-03-09,"1,456",489,0.34,1,"1,425",15,0,0,53
2020-03-10,"2,600","12,764",8.86,19,"1,100",263,39,38,"1,453"
2020-03-11,"1,464",271,0.19,0,"1,416",24,0,0,63
2020-03-12,"1,414",0,0,0,"1,440",0,0,0,0
2020-03-13,"1,416",6,0,0,"1,439",1,0,0,3
2020-03-14,"1,414",0,0,0,"1,440",0,0,0,0
2020-03-15,"1,414",0,0,0,"1,440",0,0,0,0
2020-03-16,"2,295","12,046",8.45,15,"1,101",332,7,0,"1,173"
2020-03-17,"1,964","6,550",4.62,5,"1,223",209,1,7,719
2020-03-18,"1,876","5,095",3.6,1,"1,264",164,12,0,578
2020-03-19,"1,487",544,0.38,0,"1,403",37,0,0,95
2020-03-20,"1,414",0,0,0,"1,440",0,0,0,0
2020-03-21,"1,414",0,0,0,"1,440",0,0,0,0
2020-03-22,"1,641","2,360",1.67,3,"1,363",77,0,0,269
2020-03-23,"2,009","5,718",4.04,3,"1,246",165,17,12,746
2020-03-24,"1,429",246,0.17,0,"1,434",6,0,0,21
2020-03-25,"1,706","3,045",2.15,7,"1,339",101,0,0,356
2020-03-26,"1,894","5,128",3.56,4,884,146,5,9,577
2020-03-27,"2,105","5,724",4.04,6,595,240,7,5,871
2020-03-28,"1,569","2,278",1.61,0,"1,384",56,0,0,201
2020-03-29,"1,415",0,0,0,"1,440",0,0,0,0
2020-03-30,"1,591","1,026",0.72,0,"1,057",66,0,0,186
2020-03-31,"1,843","2,647",1.87,1,720,139,0,0,479
2020-04-01,"1,681","2,919",2.06,0,776,71,10,4,329
2020-04-02,"1,608","1,455",1.03,2,"1,366",74,0,0,244
2020-04-03,"2,028","2,798",1.98,3,745,214,0,0,736
2020-04-04,"2,005","6,099",4.32,8,693,180,23,4,742
2020-04-05,"2,184","7,524",5.31,2,633,179,40,22,944
2020-04-06,"1,452",251,0.18,0,886,16,0,0,46
2020-04-07,"1,766","3,040",2.15,1,841,141,0,0,444
2020-04-08,"1,587","1,104",0.78,0,907,68,0,0,218
2020-04-09,"1,847","4,320",3.05,6,845,153,9,4,544
2020-04-10,"2,084","5,642",3.98,6,560,141,18,34,793
2020-04-11,"1,709","2,501",1.77,2,853,85,7,8,357
2020-04-12,"2,050","2,487",1.76,0,607,216,4,10,765
2020-04-13,"1,634","1,129",0.8,0,810,89,0,0,261
2020-04-14,"1,802","3,260",2.3,3,804,129,0,0,450
2020-04-15,"1,804","2,536",1.77,2,795,70,10,30,466
2020-04-16,"1,854","3,061",2.16,4,794,140,3,7,520
2020-04-17,"1,812","2,852",2.02,3,828,135,6,1,473
2020-04-18,"2,043","4,067",2.87,3,774,191,7,5,742
2020-04-19,"1,560",942,0.67,0,909,39,5,5,178
2020-04-20,"1,447",239,0.17,0,"1,017",17,0,0,46
2020-04-21,"2,176","4,163",2.94,5,646,254,0,0,896
2020-04-22,"3,214","13,872",9.79,19,521,448,75,52,"2,299"
2020-04-23,"1,909","5,489",3.88,7,757,189,0,0,636
2020-04-24,"1,840","4,801",3.27,8,809,119,4,9,508
2020-04-25,"2,150","10,959",7.74,13,701,195,44,7,936
2020-04-26,"2,059","8,171",5.77,9,802,191,35,5,820
2020-04-27,"1,821","3,979",2.81,5,716,122,10,13,507
2020-04-28,"1,747","2,802",1.98,4,913,123,0,0,397
2020-04-29,"2,500","8,307",5.81,6,539,177,66,52,"1,288"
2020-04-30,"1,909","3,366",2.35,4,896,148,11,7,575
2020-05-01,"2,040","4,366",3.07,3,696,191,13,8,752
2020-05-02,"2,136","6,141",4.21,14,793,207,1,21,873
2020-05-03,"2,217","6,272",4.29,7,685,222,17,20,983
2020-05-04,"2,192","6,825",4.72,8,689,266,11,13,"1,002"
2020-05-05,"1,592","1,144",0.81,2,859,85,0,0,223
2020-05-06,"1,728","3,250",2.29,1,846,142,0,0,404
2020-05-07,"1,757","2,688",1.9,5,837,160,0,0,445
2020-05-08,"2,024","9,286",6.56,7,689,125,44,25,757
2020-05-09,"1,905","3,358",2.37,5,653,205,0,0,623
2020-05-10,"2,380","9,344",6.64,12,733,260,29,33,"1,214"
2020-05-11,"2,108","7,021",4.96,10,695,333,0,0,969
2020-05-12,"1,844","2,777",1.96,4,798,192,0,0,552
2020-05-13,"1,715","1,443",1.02,2,830,114,0,0,340
2020-05-14,"2,198","6,514",4.6,5,666,204,28,22,959
2020-05-15,"2,125","3,701",2.61,3,791,194,16,17,838
2020-05-16,"2,081","4,842",3.32,4,648,212,5,17,834
2020-05-17,"2,067","5,281",3.73,9,628,255,0,0,860
2020-05-18,"1,747","2,571",1.82,3,868,159,0,0,434
2020-05-19,"1,873","5,420",3.83,5,816,118,25,5,546
2020-05-20,"1,771","1,535",1.08,2,"1,145",112,4,7,421
2020-05-21,"2,238","7,820",5.49,12,734,171,41,31,991
2020-05-22,"2,437","13,271",9.37,16,718,190,45,65,"1,264"
2020-05-23,"1,896","2,749",1.94,1,724,184,11,2,616
2020-05-24,"2,403","8,323",5.87,4,938,260,41,26,"1,202"
2020-05-25,"2,948","14,145",10,5,415,236,87,89,"1,894"
2020-05-26,"2,169","10,127",7.15,4,833,174,56,13,934
2020-05-27,"1,655","2,672",1.89,1,837,76,13,2,294
2020-05-28,"1,932","2,267",1.6,2,829,113,8,33,615
2020-05-29,"1,960","5,368",3.73,7,731,222,0,0,704
2020-05-30,"2,049","4,593",3.24,13,912,271,0,0,802
2020-05-31,"2,525","5,588",3.95,0,558,246,34,56,"1,376"
2020-06-01,"1,993","2,862",2.02,2,757,210,0,0,687
2020-06-02,"1,717","3,292",2.32,5,890,80,16,5,381
2020-06-03,"1,924","1,610",1.14,1,741,177,0,0,602
2020-06-04,"2,121","4,531",3.2,3,792,208,15,4,840
2020-06-05,"1,976","6,382",4.5,3,"1,264",135,31,10,665
2020-06-06,"2,813","11,550",8.14,27,663,421,23,38,"1,761"
2020-06-07,"2,392","7,022",4.92,24,701,321,17,12,"1,264"
2020-06-08,"1,752","2,560",1.8,6,856,95,3,13,414
