Stocks,Category,MachineType,InventoryTypeSH,CategorySH,Year,Make,ManufacturerSH,Model,ModelSH,Hours,Condition,Seller,PurchCity,PurchState,DaggerLocation,DatePurchased,PurchPrice, EstFreight , EstLabor , EstParts , EstSalePrice , EstTotalCost , EstProfit ,DateSold,Buyback, Freight , Labor , Parts , TotalRepairCost , ListingFees , BuybackFee ,TotalFees, TotalCOGS ,SaleType, SalePrice ,Profit,ProfitNoLabor,Turnover,ROI,,Collab,Jared,Dustin,Quinn,Nash,Gifford,Bunde,Chris,Ethan,Wes,Korey,(Numbers added since switching back to individual),Notes,AuctionEnd,ClosingTime
1116,Agriculture,Haystacker,Trailers,Semi-Trailers - Flatbed Trailers,2020,Stinger,STINGER,8500,8500,500,3,Ritchie Bros Salvage,,,"Fargo, ND",6/26/2021,112420.00,,,,250000,112420,137580,2/2/2022,,9300.00,40268.00,43616.83,83884.83,4130.00,,4130.00,209734.83,Auction,223020.00,13285.17,53553.17,221.00,0.06,6.33,2,1,,,,,,,1,,,,?,,
1123,Agriculture,Tractor,,,,Case IH,,9250,,7195,,,,,"Fargo, ND",5/5/2021,24750.00,,,,,24750,  ,12/29/2021,,,  ,,,,,,24750.00,,  ,,,238.00,,,2,,,,,,1,1,,,,,?,,
1144,Construction,Forklift,Construction_Equipment,Lifts - Forklifts - Pneumatic Tire,,Caterpillar,CATERPILLAR,P33000,P33000,,,,,,"Fargo, ND",8/11/2021,21700.00,,,,,21700,  ,,,4300.00,  ,,,,,,26000.00,,  ,,,,,,1,,,,,,,,1,,,,ASSET,,
1161,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2017,Claas,CLAAS,Orbis 750,ORBIS 750,,,,,,"Fargo, ND",9/7/2021,30800.00,,,,,30800,  ,7/20/2022,1,687.50,124.50,1463.32,1587.82,595.00,595.00,1190.00,34265.32,Auction,32400.00,-1865.32,-1740.82,316.00,-0.05,-5.44,1,,,,,,,1,`,,,,?,,
1163,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2017,Claas,CLAAS,Orbis 900,ORBIS 900,,,,,,"Fargo, ND",9/6/2021,28050.00,,,,,28050,  ,7/20/2022,,687.50,427.50,1463.32,1890.82,706.00,,706.00,31334.32,Auction,38124.00,6789.68,7217.18,317.00,0.22,21.67,1,,,,,,,1,,,,,,,
1165,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,1998,John Deere,JOHN DEERE,9200,9200,,,,,,"Fargo, ND",10/14/2021,19800.00,,,,25272,19800,5472,3/2/2022,,5689.30,692.00,500.00,1192.00,495.00,,495.00,27176.30,Auction,25272.00,-1904.30,-1212.30,139.00,-0.07,-7.01,1,,,,,,1,,,,,,,,
1173,Construction,Scissor Lift,Construction_Equipment,Lifts - Scissor Lifts - Slab,2013,Skyjack,SKYJACK,SJIII 4626,SJIII4626,,,,,,"Fargo, ND",9/2/2021,3960.00,,,,6000,3960,2040,,,1200.00,  ,,,,,,5160.00,,  ,,,,,,1,,,,,1,,,,,,,ASSET,,
1175,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2017,Prinoth,PRINOTH,Panther T12,PANTHER T12,,3,,,,"Fargo, ND",9/25/2021,47302.20,,,,100000,47302.2,52697.8,3/23/2022,,5800.00,1573.00,3711.66,5284.66,958.00,,958.00,59344.86,Auction,51732.00,-7612.86,-6039.86,179.00,-0.13,-12.83,2,1,,,,,,,1,,,,,,
1188,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2019,Caterpillar,CATERPILLAR,298D,289D,,,Ritchie Bros,,,"Fargo, ND",9/8/2021,29971.00,,,,40000,29971,10029,2/23/2022,,950.00,435.00,1472.61,1907.61,1072.00,,1072.00,33900.61,Auction,57888.00,23987.39,24422.39,168.00,0.71,70.76,1,,,,,,,1,,,,,,,
1189,Construction,Boom Lift,Construction_Equipment,Lifts - Boom Lifts - Articulating,2019,JLG,JLG,800A,800A,195,3,,,,"Fargo, ND",9/20/2021,15126.00,,,,45000,15126,29874,,1,6500.00,  ,,,,295.00,295.00,21921.00,,  ,,,,,,1,1,,,,,,,,,,,ASSET,,
1190,Construction,Sweeper,,,2013,Tennant,,T20,,,,,,,"Fargo, ND",10/5/2021,5500.00,,,,,5500,  ,,,300.00,  ,,,,,,5800.00,,  ,,,,,,1,,,,,,,,1,,,,ASSET,,
1192,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2016,Toro,TORO,TX-1000,DINGO TX1000N,,,,,,"Fargo, ND",10/1/2021,13500.00,,,,18000,13500,4500,3/16/2022,,1000.00,763.00,85.00,848.00,395.00,,395.00,15743.00,Auction,12528.00,-3215.00,-2452.00,166.00,-0.20,-20.42,1,,,,,,,1,,,,,,,
1193,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2017,Toro,TORO,22323G,DINGO TX525N,,,,,,"Fargo, ND",10/1/2021,7750.00,,,,12000,7750,4250,2/16/2022,,1000.00,606.00,267.00,873.00,395.00,,395.00,10018.00,Auction,11556.00,1538.00,2144.00,138.00,0.15,15.35,1,,,,,,,1,,,,,,,
1203,Construction,Heater,Construction_Equipment,Towable Heaters,2018,Allmond Brothers,ALLMAND BROS,Maxi-Heat,MAXI HEAT 1MBTU,,,,,,"Fargo, ND",9/26/2021,15500.00,,,,25000,15500,9500,,,1000.00,  ,,,,,,16500.00,,  ,,,,,,1,1,,,,,,,,,,,ASSET,,
1205,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2005,Ag Chem,AG-CHEM,Terragator 9203,TERRAGATOR 9203,6158,,,,,"Fargo, ND",9/30/2021,7665.00,,,,,7665,  ,11/24/2021,1,3200.00,2338.00,960.99,3298.99,,395.00,395.00,14558.99,Auction,11988.00,-2570.99,-232.99,55.00,-0.18,-17.66,,,,,,,,,,,,,,,
1212,Agriculture,Spreader,Agricultural_Equipment,Chemical Applicators - Fertilizer Applicators - Dry,2016,Rogator,ROGATOR,9300B,RG9300B,,,,,,"Fargo, ND",9/30/2021,51540.00,,,,65000,51540,13460,3/28/2022,,,   ,,,500.00,,500.00,52040.00,Retail,55000.00,2960.00,2960.00,179.00,0.06,5.69,1,,,,,,,,1,,,,,,
1233,Construction,Dump Truck,Construction_Equipment,Off-Highway Trucks,2020,Bell,BELL,B45E,B45E,,,,,,"Fargo, ND",10/15/2021,121000.00,,,,250000,121000,129000,3/8/2022,,8000.00,39626.00,,39626.00,,,,168626.00,Retail,350000.00,181374.00,221000.00,144.00,1.08,107.56,1,,,,,,,,1,,,,,,
1234,Agriculture,Harvester,Agricultural_Equipment,Specialty Crop Equipment - Harvesters - Other,2020,Case IH,CASE IH,A9900 Sugar Cane,A9900,,,,,,"Fargo, ND",10/1/2021,34320.00,,,,,34320,  ,,,   ,  ,,,,,,34320.00,,  ,,,,,,1,,,,,,,,1,,,,ASSET,,
1248,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2016,Toro,TORO,22327G,DINGO TX1000N,,,IronPlanet,,,"Fargo, ND",10/15/2021,14700.00,,,,19000,14700,4300,3/17/2022,,1300.00,1200.00,85.00,1285.00,495.00,,495.00,17780.00,Auction,17820.00,40.00,1240.00,153.00,0.00,0.22,1,,,,,,,1,,,,,,,
1255,Agriculture,Baler,Agricultural_Equipment,Hay and Forage Equipment - Round Balers,2016,Kubota,KUBOTA,BV4580,BV4580,,,,,,"Fargo, ND",11/12/2021,12870.00,,,,20000,12870,7130,8/10/2022,1,1300.00,411.00,395.00,806.00,395.00,790.00,1185.00,16161.00,Auction,11880.00,-4281.00,-3870.00,271.00,-0.26,-26.49,1,,,,,1,,,,,,,,,
1258,Construction,Loader,Construction_Equipment,Wheel Loaders,2015,Caterpillar,CATERPILLAR,950M,950M,3167,,IronPlanet,,,"Fargo, ND",11/20/2021,72540.00,,,,110000,72540,37460,1/26/2022,,4900.00,6885.00,1869.13,8754.13,3186.00,,3186.00,89380.13,Auction,172044.00,82663.87,89548.87,67.00,0.92,92.49,1,1,,,,,,,,,,,,,
1259,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2015,Prinoth,PRINOTH,Panther T8,PANTHER T8,2597,,,,,"Fargo, ND",11/1/2021,47540.00,,,,,47540,  ,7/13/2022,,2650.00,   ,,,938.00,,938.00,51128.00,Auction,50652.00,-476.00,-476.00,254.00,-0.01,-0.93,1,,,,,,,,1,,,,,,
1262,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2015,Morooka,,MST1500VD,,1136,,,,,"Fargo, ND",11/15/2021,57540.00,,,,,57540,  ,,1,3800.00,   ,152.56,152.56,,1116.00,1116.00,62608.56,,,,,,,,1,,,,,,,1,,,,,Ask Bunde,,
