Country,CountryCode,Region,IncomeGroup,Year,RPCO2Change,GDPChange,Recession
Aruba,ABW,Latin America & Caribbean,High income,1987,1.489795918,0.218353661,0
Aruba,ABW,Latin America & Caribbean,High income,1988,0.368852459,0.238275667,0
Aruba,ABW,Latin America & Caribbean,High income,1989,0.05988024,0.166687234,0
Aruba,ABW,Latin America & Caribbean,High income,1990,-0.248587571,0.080303663,1
Aruba,ABW,Latin America & Caribbean,High income,1991,0.090225564,0.096584163,1
Aruba,ABW,Latin America & Caribbean,High income,1992,0.013793103,0.0407899,1
Aruba,ABW,Latin America & Caribbean,High income,1993,0.204081633,0.06338399,1
Aruba,ABW,Latin America & Caribbean,High income,1994,0.016949153,0.087315685,0
Aruba,ABW,Latin America & Caribbean,High income,1995,0.072222222,0.01221041,0
Aruba,ABW,Latin America & Caribbean,High income,1996,0.025906736,0.008924442,1
Aruba,ABW,Latin America & Caribbean,High income,1997,0.045454545,0.080892057,0
Aruba,ABW,Latin America & Caribbean,High income,1998,0.062801932,0.064179475,0
Aruba,ABW,Latin America & Caribbean,High income,1999,0.004545455,0.014564168,0
Aruba,ABW,Latin America & Caribbean,High income,2000,1.936651584,0.065327751,0
Aruba,ABW,Latin America & Caribbean,High income,2001,0.012326656,0.002343826,0
Aruba,ABW,Latin America & Caribbean,High income,2002,0.01217656,-0.011231529,0
Aruba,ABW,Latin America & Caribbean,High income,2003,0.05112782,0.019419517,0
Aruba,ABW,Latin America & Caribbean,High income,2004,0.021459227,0.083336529,0
Aruba,ABW,Latin America & Caribbean,High income,2005,0.039215686,0.032346716,0
Aruba,ABW,Latin America & Caribbean,High income,2006,-0.001347709,0.031984191,0
Aruba,ABW,Latin America & Caribbean,High income,2007,0.039136302,0.074437093,0
Aruba,ABW,Latin America & Caribbean,High income,2008,-0.058441558,0.048367122,1
Aruba,ABW,Latin America & Caribbean,High income,2009,-0.011034483,-0.090613876,1
Aruba,ABW,Latin America & Caribbean,High income,2010,-0.046025105,-0.045384918,0
Aruba,ABW,Latin America & Caribbean,High income,2011,-0.002923977,0.062663871,0
Aruba,ABW,Latin America & Caribbean,High income,2012,-0.460410557,-0.010897915,0
Aruba,ABW,Latin America & Caribbean,High income,2013,-0.361413043,0.05971334,0
Aruba,ABW,Latin America & Caribbean,High income,2014,0.012765957,0.017507158,0
Aruba,ABW,Latin America & Caribbean,High income,2015,0.029411765,0.050020478,0
Aruba,ABW,Latin America & Caribbean,High income,2016,-0.016326531,0.010738396,0
Aruba,ABW,Latin America & Caribbean,High income,2017,0.037344398,0.025682738,0
Aruba,ABW,Latin America & Caribbean,High income,2018,0.029731441,-1,1
Albania,ALB,Europe & Central Asia,Upper middle income,1985,0.007029053,0.000596064,1
Albania,ALB,Europe & Central Asia,Upper middle income,1986,0.02233597,0.084404505,0
Albania,ALB,Europe & Central Asia,Upper middle income,1987,-0.076012745,-0.027497941,0
Albania,ALB,Europe & Central Asia,Upper middle income,1988,-0.015763547,-0.03263082,0
Albania,ALB,Europe & Central Asia,Upper middle income,1989,0.226226226,0.069275512,0
Albania,ALB,Europe & Central Asia,Upper middle income,1990,-0.393469388,-0.11571013,1
Albania,ALB,Europe & Central Asia,Upper middle income,1991,-0.223418573,-0.454681793,1
Albania,ALB,Europe & Central Asia,Upper middle income,1992,-0.409878683,-0.403268032,1
Albania,ALB,Europe & Central Asia,Upper middle income,1993,-0.07195301,0.828604262,1
Albania,ALB,Europe & Central Asia,Upper middle income,1994,-0.174050633,0.596649904,0
Albania,ALB,Europe & Central Asia,Upper middle income,1995,0.08045977,0.279985564,0
Albania,ALB,Europe & Central Asia,Upper middle income,1996,-0.035460993,0.345552466,1
Albania,ALB,Europe & Central Asia,Upper middle income,1997,-0.231617647,-0.289706505,0
Albania,ALB,Europe & Central Asia,Upper middle income,1998,0.138755981,0.134391285,0
Albania,ALB,Europe & Central Asia,Upper middle income,1999,0.705882353,0.269665833,0
Albania,ALB,Europe & Central Asia,Upper middle income,2000,0.009852217,0.090435399,0
Albania,ALB,Europe & Central Asia,Upper middle income,2001,0.07195122,0.137550697,0
Albania,ALB,Europe & Central Asia,Upper middle income,2002,0.163822526,0.111937271,0
Albania,ALB,Europe & Central Asia,Upper middle income,2003,0.129032258,0.295408479,0
Albania,ALB,Europe & Central Asia,Upper middle income,2004,-0.03030303,0.28571348,0
Albania,ALB,Europe & Central Asia,Upper middle income,2005,0.023214286,0.126478761,0
Albania,ALB,Europe & Central Asia,Upper middle income,2006,-0.084642234,0.111809935,0
Albania,ALB,Europe & Central Asia,Upper middle income,2007,-0.003813155,0.209333213,0
Albania,ALB,Europe & Central Asia,Upper middle income,2008,0.115789474,0.215714867,1
Albania,ALB,Europe & Central Asia,Upper middle income,2009,-0.004288165,-0.058665521,1
Albania,ALB,Europe & Central Asia,Upper middle income,2010,0.045650301,-0.004810186,0
Albania,ALB,Europe & Central Asia,Upper middle income,2011,0.130971993,0.083723307,0
Albania,ALB,Europe & Central Asia,Upper middle income,2012,-0.07210488,-0.04271057,0
Albania,ALB,Europe & Central Asia,Upper middle income,2013,0.055729984,0.038946631,0
Albania,ALB,Europe & Central Asia,Upper middle income,2014,0.140520446,0.037518434,0
Albania,ALB,Europe & Central Asia,Upper middle income,2015,-0.193611473,-0.136685101,0
Albania,ALB,Europe & Central Asia,Upper middle income,2016,-0.008084074,0.043324848,0
Albania,ALB,Europe & Central Asia,Upper middle income,2017,0.202118989,0.098680791,0
Albania,ALB,Europe & Central Asia,Upper middle income,2018,-0.000259233,0.166267031,1
Albania,ALB,Europe & Central Asia,Upper middle income,2019,0.032577463,0.013031741,1
Andorra,AND,Europe & Central Asia,High income,1991,0,0.034644382,1
Andorra,AND,Europe & Central Asia,High income,1992,0,0.051973355,1
Andorra,AND,Europe & Central Asia,High income,1993,0.009009009,-0.196189279,1
Andorra,AND,Europe & Central Asia,High income,1994,-0.008928571,-0.017053402,0
Andorra,AND,Europe & Central Asia,High income,1995,0.045045045,0.137128552,0
Andorra,AND,Europe & Central Asia,High income,1996,0.068965517,0.030123383,1
Andorra,AND,Europe & Central Asia,High income,1997,0.024193548,-0.034921847,0
Andorra,AND,Europe & Central Asia,High income,1998,0.05511811,0.029502534,0
Andorra,AND,Europe & Central Asia,High income,1999,0.044776119,0.019433623,0
Andorra,AND,Europe & Central Asia,High income,2000,0.021428571,0.134595331,0
Andorra,AND,Europe & Central Asia,High income,2001,0,0.051124559,0
Andorra,AND,Europe & Central Asia,High income,2002,0.013986014,0.091214916,0
Andorra,AND,Europe & Central Asia,High income,2003,0.006896552,0.287434298,0
Andorra,AND,Europe & Central Asia,High income,2004,0.047945205,0.176537477,0
Andorra,AND,Europe & Central Asia,High income,2005,0.026143791,0.055231169,0
Andorra,AND,Europe & Central Asia,High income,2006,-0.050955414,0.065131011,0
Andorra,AND,Europe & Central Asia,High income,2007,-0.013422819,0.12015895,0
Andorra,AND,Europe & Central Asia,High income,2008,0,0.019136665,1
Andorra,AND,Europe & Central Asia,High income,2009,-0.040816327,-0.107049923,1
Andorra,AND,Europe & Central Asia,High income,2010,0,-0.060927004,0
Andorra,AND,Europe & Central Asia,High income,2011,-0.04964539,0.060771114,0
Andorra,AND,Europe & Central Asia,High income,2012,-0.007462687,-0.10727662,0
Andorra,AND,Europe & Central Asia,High income,2013,-0.022556391,0.022031104,0
Andorra,AND,Europe & Central Asia,High income,2014,-0.030769231,0.044643847,0
Andorra,AND,Europe & Central Asia,High income,2015,0.007936508,-0.134161722,0
Andorra,AND,Europe & Central Asia,High income,2016,0.007874016,0.047875323,0
Andorra,AND,Europe & Central Asia,High income,2017,-0.0078125,0.039712561,0
Andorra,AND,Europe & Central Asia,High income,2018,-0.002402606,0.072637723,1
Andorra,AND,Europe & Central Asia,High income,2019,0.013539131,-0.021694133,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,1963,-0.067253106,-0.264372378,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1964,0.112674021,0.379785578,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1965,0.056310521,0.090241878,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1966,0.072575935,-0.00493346,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1967,0.038103906,-0.165194008,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1968,0.053962306,0.07391408,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1969,0.119399312,0.164737003,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1970,0.069892686,-0.004866494,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1971,0.075007077,0.037640924,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1972,0.01372658,0.026589586,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1973,0.04340464,0.488447984,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1974,0.016009757,0.356620418,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,1975,-0.006648869,-0.287369317,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,1976,0.051175168,-0.039022833,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1977,0.010098284,0.093153319,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1978,0.018368423,0.007820884,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1979,0.078597433,0.17450771,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1980,-0.017717892,0.094375634,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1981,-0.061547592,0.006338464,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1982,0.013558355,0.054595818,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1983,0.017328748,0.213627758,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1984,0.01245605,-0.251498494,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,1985,-0.05561659,0.100168255,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,1986,0.035999026,0.234950413,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1987,0.102998096,-0.014043005,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1988,0.056821265,0.118532235,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1989,-0.036114981,-0.401818491,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1990,-0.042233513,0.817837033,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,1991,0.048418096,0.323498988,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,1992,0.031699216,0.189731286,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,1993,-0.028483728,0.021335043,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,1994,0.037795993,0.07375705,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1995,0.045290863,-0.009946553,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1996,0.054766319,0.04219984,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,1997,0.021366502,0.063689946,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1998,0.013153246,0.009299567,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1999,0.056171592,-0.062098941,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2000,-0.033450654,-0.008570735,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2001,-0.058685726,-0.064831718,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2002,-0.071726217,-0.640223298,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2003,0.082309404,0.291663748,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2004,0.166472667,0.277005651,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2005,0.027959209,0.194526456,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2006,0.08161091,0.158353083,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2007,-0.002080259,0.224097581,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2008,0.079544202,0.245040017,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2009,-0.048678936,-0.088210522,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2010,0.043498021,0.262710178,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2011,0.018960952,0.237137319,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2012,0.007573687,0.018196171,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2013,-0.008153542,-0.000184182,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2014,-0.007648036,-0.056990976,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2015,0.019439854,0.117899146,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2016,-0.007465033,-0.072435534,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2017,-0.018403093,0.142514839,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2018,-0.012731291,-0.203896208,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2019,-0.032915497,-0.147953453,1
Armenia,ARM,Europe & Central Asia,Upper middle income,1991,0.038881147,-0.074834622,1
Armenia,ARM,Europe & Central Asia,Upper middle income,1992,-0.690283286,-0.373632548,1
Armenia,ARM,Europe & Central Asia,Upper middle income,1993,-0.560803071,-0.033626196,1
Armenia,ARM,Europe & Central Asia,Upper middle income,1994,0.05483269,0.121252976,0
Armenia,ARM,Europe & Central Asia,Upper middle income,1995,0.264307405,0.139469876,0
Armenia,ARM,Europe & Central Asia,Upper middle income,1996,-0.244600085,0.104483168,1
Armenia,ARM,Europe & Central Asia,Upper middle income,1997,0.259764088,0.038139435,0
Armenia,ARM,Europe & Central Asia,Upper middle income,1998,0.039923557,0.164135579,0
Armenia,ARM,Europe & Central Asia,Upper middle income,1999,-0.102607516,-0.019271921,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2000,0.145429266,0.042363989,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2001,0.011827323,0.11510557,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2002,-0.129053662,0.127901066,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2003,0.123104479,0.187537016,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2004,0.068190684,0.281457916,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2005,0.185569071,0.379081131,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2006,0.005808962,0.312936712,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2007,0.158719917,0.454619312,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2008,0.09305107,0.27763705,1
Armenia,ARM,Europe & Central Asia,Upper middle income,2009,-0.217310069,-0.253440758,1
Armenia,ARM,Europe & Central Asia,Upper middle income,2010,-0.025343476,0.074817814,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2011,0.168391747,0.095524064,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2012,0.156851104,0.044260168,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2013,-0.037097886,0.042459098,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2014,0.004499003,0.038571823,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2015,-0.087688353,-0.09506094,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2016,0.017030313,-0.004287815,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2017,0.0632122,0.089835003,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2018,0.147999753,0.07816807,1
Armenia,ARM,Europe & Central Asia,Upper middle income,2019,-0.04616394,0.095307225,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1978,0.05511811,0.13622284,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1979,-0.171641791,0.242930105,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1980,-0.648648649,0.206599578,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1981,-0.256410256,0.126044855,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1982,1.75862069,0.112170066,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1983,-0.7125,0.107996036,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1984,0.739130435,0.144018537,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1985,0.7,0.156215549,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1986,0,0.20615104,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1987,0.102941176,0.161605971,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1988,0.04,0.181254254,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1989,0,0.096528617,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1990,-0.230769231,0.038410894,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1991,-0.033333333,0.034515984,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1992,-0.017241379,0.018734171,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1993,0.035087719,0.050606184,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1994,0,0.07799274,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1995,0.033898305,-0.041518492,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1996,0.06557377,0.074269858,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1997,0.076923077,0.051057339,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1998,0.057142857,0.047209525,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1999,0.040540541,0.032235451,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2000,0.038961039,0.059490317,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2001,0.0125,-0.046332982,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2002,0.111111111,0.003292057,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2003,0.066666667,0.038263847,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2004,0.041666667,0.060103774,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2005,0.02,0.096828873,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2006,0.029411765,0.114722523,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2007,0.057142857,0.116132556,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2008,0.027027027,0.026901669,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2009,0.061403509,-0.117397385,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2010,0.024793388,-0.078447002,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2011,-0.024193548,-0.0232237,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2012,0.033057851,0.041285724,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2013,0.008,-0.027327086,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2014,0,0.045844188,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2015,0.03968254,0.058105213,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2016,0.022900763,0.063805008,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2017,0,0.012225451,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2018,0.029732614,0.083812927,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2019,-0.02617421,0.026394989,1
Australia,AUS,East Asia & Pacific,High income,1962,0.047727879,-0.012209881,0
Australia,AUS,East Asia & Pacific,High income,1963,0.064444066,0.060646982,0
Australia,AUS,East Asia & Pacific,High income,1964,0.078679952,0.083454851,0
Australia,AUS,East Asia & Pacific,High income,1965,0.110005214,0.070246824,0
Australia,AUS,East Asia & Pacific,High income,1966,-0.005240819,0.027608639,0
Australia,AUS,East Asia & Pacific,High income,1967,0.074238578,0.100769922,0
Australia,AUS,East Asia & Pacific,High income,1968,0.04144737,0.05581608,0
Australia,AUS,East Asia & Pacific,High income,1969,0.056706898,0.09810985,0
Australia,AUS,East Asia & Pacific,High income,1970,0.037685222,0.104753595,0
Australia,AUS,East Asia & Pacific,High income,1971,0.034918464,0.057611552,0
Australia,AUS,East Asia & Pacific,High income,1972,0.030832885,0.130040558,0
Australia,AUS,East Asia & Pacific,High income,1973,0.085752072,0.207881566,0
Australia,AUS,East Asia & Pacific,High income,1974,0.007972913,0.358872822,1
Australia,AUS,East Asia & Pacific,High income,1975,0.020468974,0.080508229,1
Australia,AUS,East Asia & Pacific,High income,1976,-0.009328965,0.068976161,0
Australia,AUS,East Asia & Pacific,High income,1977,0.077726225,0.038562456,0
Australia,AUS,East Asia & Pacific,High income,1978,0.075772624,0.061419498,0
Australia,AUS,East Asia & Pacific,High income,1979,0.01510947,0.126125506,0
Australia,AUS,East Asia & Pacific,High income,1980,0.076445836,0.098353594,0
Australia,AUS,East Asia & Pacific,High income,1981,0.04353874,0.160808831,0
Australia,AUS,East Asia & Pacific,High income,1982,0.016321035,0.078823668,0
Australia,AUS,East Asia & Pacific,High income,1983,-0.038922933,-0.097744218,0
Australia,AUS,East Asia & Pacific,High income,1984,0.051498887,0.07928671,1
Australia,AUS,East Asia & Pacific,High income,1985,0.019575041,-0.079974022,1
Australia,AUS,East Asia & Pacific,High income,1986,-0.005252349,-0.006423808,0
Australia,AUS,East Asia & Pacific,High income,1987,0.06727789,0.022912356,0
