Country Name,Country Code,Region,IncomeGroup,Year,Annual CO2 growth (abs),GDP Change
Afghanistan,AFG,South Asia,Low income,1961,0.076913,0.001466879
Afghanistan,AFG,South Asia,Low income,1962,0.197796,-0.023435323
Afghanistan,AFG,South Asia,Low income,1963,0.018142,0.346374618
Afghanistan,AFG,South Asia,Low income,1964,0.131815,0.043056774
Afghanistan,AFG,South Asia,Low income,1965,0.168366,0.231597792
Afghanistan,AFG,South Asia,Low income,1966,0.084242,0.360861032
Afghanistan,AFG,South Asia,Low income,1967,0.190706,0.169369138
Afghanistan,AFG,South Asia,Low income,1968,-0.058474,-0.197579519
Afghanistan,AFG,South Asia,Low income,1969,-0.282159,0.00171476
Afghanistan,AFG,South Asia,Low income,1970,0.729165,0.210231864
Afghanistan,AFG,South Asia,Low income,1971,0.223184,0.019477765
Afghanistan,AFG,South Asia,Low income,1972,-0.363173,-0.151974921
Afghanistan,AFG,South Asia,Low income,1973,0.105178,0.057844346
Afghanistan,AFG,South Asia,Low income,1976,-0.140436,0.058627193
Afghanistan,AFG,South Asia,Low income,1977,0.403305,0.135628762
Afghanistan,AFG,South Asia,Low income,1978,-0.230868,0.103152325
Afghanistan,AFG,South Asia,Low income,1979,0.079536,0.114750839
Afghanistan,AFG,South Asia,Low income,1980,-0.476687,-0.011180576
Afghanistan,AFG,South Asia,Low income,1981,0.222253,-0.031336155
Afghanistan,AFG,South Asia,Low income,1982,0.116197,-1
Afghanistan,AFG,South Asia,Low income,2003,0.134342,0.062739876
Afghanistan,AFG,South Asia,Low income,2004,-0.296784,0.108547769
Afghanistan,AFG,South Asia,Low income,2005,0.4141,0.144994138
Afghanistan,AFG,South Asia,Low income,2006,0.332111,0.089667775
Afghanistan,AFG,South Asia,Low income,2007,0.633227,0.36385016
Afghanistan,AFG,South Asia,Low income,2010,1.657803,0.240202611
Afghanistan,AFG,South Asia,Low income,2011,3.708009,0.08809028
Afghanistan,AFG,South Asia,Low income,2012,-1.887274,0.085777934
Afghanistan,AFG,South Asia,Low income,2013,-1.777748,-0.007331617
Afghanistan,AFG,South Asia,Low income,2014,-0.666426,-0.03658207
Afghanistan,AFG,South Asia,Low income,2015,0.129793,-0.05765244
Afghanistan,AFG,South Asia,Low income,2016,-1.159505,-0.119709109
Afghanistan,AFG,South Asia,Low income,2017,0.115197,0.020946035
Albania,ALB,Europe & Central Asia,Upper middle income,1986,0.175872,0.084404505
Albania,ALB,Europe & Central Asia,Upper middle income,1987,-0.611888,-0.027497941
Albania,ALB,Europe & Central Asia,Upper middle income,1988,-0.117248,-0.03263082
Albania,ALB,Europe & Central Asia,Upper middle income,1989,1.656128,0.069275512
Albania,ALB,Europe & Central Asia,Upper middle income,1994,-0.40304,0.596649904
Albania,ALB,Europe & Central Asia,Upper middle income,1995,0.153888,0.279985564
Albania,ALB,Europe & Central Asia,Upper middle income,1997,-0.461664,-0.289706505
Albania,ALB,Europe & Central Asia,Upper middle income,1998,0.212512,0.134391285
Albania,ALB,Europe & Central Asia,Upper middle income,1999,1.231104,0.269665833
Albania,ALB,Europe & Central Asia,Upper middle income,2000,0.029312,0.090435399
Albania,ALB,Europe & Central Asia,Upper middle income,2001,0.216176,0.137550697
Albania,ALB,Europe & Central Asia,Upper middle income,2002,0.527616,0.111937271
Albania,ALB,Europe & Central Asia,Upper middle income,2003,0.483648,0.295408479
Albania,ALB,Europe & Central Asia,Upper middle income,2004,-0.12824,0.28571348
Albania,ALB,Europe & Central Asia,Upper middle income,2005,0.095264,0.126478761
Albania,ALB,Europe & Central Asia,Upper middle income,2006,-0.355408,0.111809935
Albania,ALB,Europe & Central Asia,Upper middle income,2007,-0.014656,0.209333213
Albania,ALB,Europe & Central Asia,Upper middle income,2010,0.194192,-0.004810186
Albania,ALB,Europe & Central Asia,Upper middle income,2011,0.582576,0.083723307
Albania,ALB,Europe & Central Asia,Upper middle income,2012,-0.362736,-0.04271057
