Country Name,Country Code,Region,IncomeGroup,Year,Annual CO2 growth (abs),GDP Change
Afghanistan,AFG,South Asia,Low income,1974,0.277753,0.213134862
Afghanistan,AFG,South Asia,Low income,1975,0.208277,0.074038893
Afghanistan,AFG,South Asia,Low income,2008,1.930925,0.013810399
Afghanistan,AFG,South Asia,Low income,2009,2.540446,0.201324904
Afghanistan,AFG,South Asia,Low income,2018,3.592841,-0.050269514
Afghanistan,AFG,South Asia,Low income,2019,0.267666,0.027044056
Albania,ALB,Europe & Central Asia,Upper middle income,1985,0.05496,0.000596064
Albania,ALB,Europe & Central Asia,Upper middle income,1990,-3.532096,-0.11571013
Albania,ALB,Europe & Central Asia,Upper middle income,1991,-1.216448,-0.454681793
Albania,ALB,Europe & Central Asia,Upper middle income,1992,-1.733072,-0.403268032
Albania,ALB,Europe & Central Asia,Upper middle income,1993,-0.179536,0.828604262
Albania,ALB,Europe & Central Asia,Upper middle income,1996,-0.07328,0.345552466
Albania,ALB,Europe & Central Asia,Upper middle income,2008,0.443344,0.215714867
Albania,ALB,Europe & Central Asia,Upper middle income,2009,-0.01832,-0.058665521
Albania,ALB,Europe & Central Asia,Upper middle income,2018,-0.001401,0.166267031
Albania,ALB,Europe & Central Asia,Upper middle income,2019,0.176016,0.013031741
Algeria,DZA,Middle East & North Africa,Lower middle income,1974,-6.400741,0.474503383
Algeria,DZA,Middle East & North Africa,Lower middle income,1975,0.124547,0.145236449
Algeria,DZA,Middle East & North Africa,Lower middle income,1984,18.442621,0.066888819
Algeria,DZA,Middle East & North Africa,Lower middle income,1985,1.662538,0.046824867
Algeria,DZA,Middle East & North Africa,Lower middle income,1990,-3.071626,0.087028215
Algeria,DZA,Middle East & North Africa,Lower middle income,1991,2.068712,-0.281097972
Algeria,DZA,Middle East & North Africa,Lower middle income,1992,1.076419,0.025655527
Algeria,DZA,Middle East & North Africa,Lower middle income,1993,2.060669,0.017618935
Algeria,DZA,Middle East & North Africa,Lower middle income,1996,1.804159,0.104435493
Algeria,DZA,Middle East & North Africa,Lower middle income,2008,0.631869,0.247596102
Algeria,DZA,Middle East & North Africa,Lower middle income,2009,11.154022,-0.211361475
Algeria,DZA,Middle East & North Africa,Lower middle income,2018,10.860934,0.010322752
Algeria,DZA,Middle East & North Africa,Lower middle income,2019,7.397746,-0.043279109
Andorra,AND,Europe & Central Asia,High income,1990,,0.244755437
