stardDateTime,startDate,startTime,endDateTime,endDate,endTime,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2020-01-05 3:58AM,2020-01-05,3:58AM,2020-01-05 9:27AM,2020-01-05,9:27AM,283,46,15,329,46,205,32
2020-01-06 12:05AM,2020-01-06,12:05AM,2020-01-06 7:12AM,2020-01-06,7:12AM,364,63,18,427,83,223,58
2020-01-07 1:21AM,2020-01-07,1:21AM,2020-01-07 9:03AM,2020-01-07,9:03AM,413,48,21,461,104,228,81
2020-01-10 2:36AM,2020-01-10,2:36AM,2020-01-10 9:03AM,2020-01-10,9:03AM,342,45,16,387,116,144,82
2020-01-11 2:09AM,2020-01-11,2:09AM,2020-01-11 11:31AM,2020-01-11,11:31AM,506,56,27,562,116,289,101
2020-01-12 5:10AM,2020-01-12,5:10AM,2020-01-12 12:55PM,2020-01-12,12:55PM,409,56,35,465,102,207,100
2020-01-13 2:36AM,2020-01-13,2:36AM,2020-01-13 9:13AM,2020-01-13,9:13AM,354,43,20,397,82,178,94
2020-01-13 6:24PM,2020-01-13,6:24PM,2020-01-13 8:10PM,2020-01-13,8:10PM,105,1,0,106,N/A,N/A,N/A
2020-01-14 1:23AM,2020-01-14,1:23AM,2020-01-14 9:02AM,2020-01-14,9:02AM,394,65,29,459,92,233,69
2020-01-20 2:08AM,2020-01-20,2:08AM,2020-01-20 8:34AM,2020-01-20,8:34AM,338,48,20,386,66,207,65
2020-01-21 2:34AM,2020-01-21,2:34AM,2020-01-21 9:42AM,2020-01-21,9:42AM,376,52,24,428,99,204,73
2020-01-23 3:34AM,2020-01-23,3:34AM,2020-01-23 9:42AM,2020-01-23,9:42AM,333,35,18,368,85,183,65
2020-01-24 2:10AM,2020-01-24,2:10AM,2020-01-24 8:57AM,2020-01-24,8:57AM,358,49,24,407,81,215,62
2020-01-25 3:30AM,2020-01-25,3:30AM,2020-01-25 11:48AM,2020-01-25,11:48AM,439,59,25,498,124,262,53
2020-01-26 2:08AM,2020-01-26,2:08AM,2020-01-26 11:33AM,2020-01-26,11:33AM,507,58,41,565,90,307,110
2020-01-27 1:21AM,2020-01-27,1:21AM,2020-01-27 9:03AM,2020-01-27,9:03AM,409,52,36,461,78,282,49
2020-01-28 1:35AM,2020-01-28,1:35AM,2020-01-28 9:02AM,2020-01-28,9:02AM,399,48,26,447,90,251,58
2020-01-29 11:14PM,2020-01-29,11:14PM,2020-01-30 7:23AM,2020-01-30,7:23AM,435,54,26,489,120,254,61
2020-01-29 2:15AM,2020-01-29,2:15AM,2020-01-29 9:05AM,2020-01-29,9:05AM,364,46,19,410,85,233,46
2020-01-31 1:54AM,2020-01-31,1:54AM,2020-01-31 8:22AM,2020-01-31,8:22AM,345,42,21,387,90,189,66
2020-02-01 3:03AM,2020-02-01,3:03AM,2020-02-01 11:59AM,2020-02-01,11:59AM,474,62,31,536,116,234,124
2020-02-02 3:34AM,2020-02-02,3:34AM,2020-02-02 12:20PM,2020-02-02,12:20PM,469,57,33,526,108,252,109
2020-02-03 2:56AM,2020-02-03,2:56AM,2020-02-03 9:18AM,2020-02-03,9:18AM,341,41,23,382,90,197,54
2020-02-04 2:23AM,2020-02-04,2:23AM,2020-02-04 9:12AM,2020-02-04,9:12AM,367,42,26,409,77,219,71
2020-02-05 12:43AM,2020-02-05,12:43AM,2020-02-05 9:08AM,2020-02-05,9:08AM,443,62,29,505,111,231,101
2020-02-09 2:48AM,2020-02-09,2:48AM,2020-02-09 12:24PM,2020-02-09,12:24PM,478,97,22,575,55,374,49
2020-02-10 1:44AM,2020-02-10,1:44AM,2020-02-10 9:30AM,2020-02-10,9:30AM,399,66,24,465,70,216,113
2020-02-11 1:47AM,2020-02-11,1:47AM,2020-02-11 9:30AM,2020-02-11,9:30AM,399,64,28,463,135,185,79
2020-02-12 1:53AM,2020-02-12,1:53AM,2020-02-12 11:03AM,2020-02-12,11:03AM,476,74,28,550,121,308,47
2020-02-13 12:04AM,2020-02-13,12:04AM,2020-02-13 9:41AM,2020-02-13,9:41AM,508,69,34,577,122,298,88
2020-02-14 1:56AM,2020-02-14,1:56AM,2020-02-14 9:46AM,2020-02-14,9:46AM,421,49,26,470,110,240,71
2020-02-15 3:24AM,2020-02-15,3:24AM,2020-02-15 11:57AM,2020-02-15,11:57AM,457,55,28,512,143,199,115
2020-02-17 1:01AM,2020-02-17,1:01AM,2020-02-17 9:05AM,2020-02-17,9:05AM,425,59,28,484,90,310,25
2020-03-26 2:18AM,2020-03-26,2:18AM,2020-03-26 8:54AM,2020-03-26,8:54AM,347,49,26,396,69,198,80
2020-03-27 3:09AM,2020-03-27,3:09AM,2020-03-27 1:02PM,2020-03-27,1:02PM,488,105,27,593,111,288,89
2020-03-30 6:38AM,2020-03-30,6:38AM,2020-03-30 11:55AM,2020-03-30,11:55AM,278,39,18,317,50,189,39
2020-03-31 1:11AM,2020-03-31,1:11AM,2020-03-31 10:52AM,2020-03-31,10:52AM,516,65,37,581,144,323,49
2020-04-01 1:46AM,2020-04-01,1:46AM,2020-04-01 3:25AM,2020-04-01,3:25AM,96,3,0,99,N/A,N/A,N/A
2020-04-01 1:46AM,2020-04-01,1:46AM,2020-04-01 3:25AM,2020-04-01,3:25AM,96,3,0,99,N/A,N/A,N/A
2020-04-01 4:30AM,2020-04-01,4:30AM,2020-04-01 12:30PM,2020-04-01,12:30PM,391,89,20,480,56,262,73
2020-04-01 4:30AM,2020-04-01,4:30AM,2020-04-01 12:30PM,2020-04-01,12:30PM,391,89,20,480,56,262,73
