date,market,commodity,unit,currency,price,usdprice,CPI (in %),CPI ,discount.percentage,discounted.value
2007-01-15,Ulaanbaatar,Meat (beef),KG,MNT,2331.57,0.82,17.7718832891,1.1777188329,0.302083333,7718.30069
2007-02-15,Ulaanbaatar,Meat (beef),KG,MNT,2585.72,0.91,17.7718832891,1.1777188329,0.302083333,8559.624828
2007-03-15,Ulaanbaatar,Meat (beef),KG,MNT,2668.46,0.94,17.7718832891,1.1777188329,0.302083333,8833.522759
2007-04-15,Ulaanbaatar,Meat (beef),KG,MNT,2847.25,1,17.7718832891,1.1777188329,0.302083333,9425.37931
2007-05-15,Ulaanbaatar,Meat (beef),KG,MNT,2907.04,1.02,17.7718832891,1.1777188329,0.302083333,9623.304828
2007-06-15,Ulaanbaatar,Meat (beef),KG,MNT,3273.32,1.15,17.7718832891,1.1777188329,0.302083333,10835.81793
2007-07-15,Ulaanbaatar,Meat (beef),KG,MNT,3155.48,1.11,17.7718832891,1.1777188329,0.302083333,10445.7269
2007-08-15,Ulaanbaatar,Meat (beef),KG,MNT,3101.84,1.09,17.7718832891,1.1777188329,0.302083333,10268.16
2007-09-15,Ulaanbaatar,Meat (beef),KG,MNT,3046.01,1.07,17.7718832891,1.1777188329,0.302083333,10083.34345
2007-10-15,Ulaanbaatar,Meat (beef),KG,MNT,2829.74,1,17.7718832891,1.1777188329,0.302083333,9367.415172
2007-11-15,Ulaanbaatar,Meat (beef),KG,MNT,2705.23,0.95,17.7718832891,1.1777188329,0.302083333,8955.244138
2007-12-15,Ulaanbaatar,Meat (beef),KG,MNT,2783.68,0.98,17.7718832891,1.1777188329,0.302083333,9214.94069
2008-01-15,Ulaanbaatar,Meat (beef),KG,MNT,3037,1.07,22.0720720721,1.2207207207,0.355769231,8536.432432
2008-02-15,Ulaanbaatar,Meat (beef),KG,MNT,3264,1.15,22.0720720721,1.2207207207,0.355769231,9174.486486
2008-03-15,Ulaanbaatar,Meat (beef),KG,MNT,3411,1.2,22.0720720721,1.2207207207,0.355769231,9587.675676
2008-04-15,Ulaanbaatar,Meat (beef),KG,MNT,3947,1.39,22.0720720721,1.2207207207,0.355769231,11094.27027
2008-05-15,Ulaanbaatar,Meat (beef),KG,MNT,4307,1.52,22.0720720721,1.2207207207,0.355769231,12106.16216
2008-06-15,Ulaanbaatar,Meat (beef),KG,MNT,4544,1.6,22.0720720721,1.2207207207,0.355769231,12772.32432
2008-07-15,Ulaanbaatar,Meat (beef),KG,MNT,4428,1.56,22.0720720721,1.2207207207,0.355769231,12446.27027
2008-08-15,Ulaanbaatar,Meat (beef),KG,MNT,4020,1.42,22.0720720721,1.2207207207,0.355769231,11299.45946
2008-09-15,Ulaanbaatar,Meat (beef),KG,MNT,3759,1.33,22.0720720721,1.2207207207,0.355769231,10565.83784
2008-10-15,Ulaanbaatar,Meat (beef),KG,MNT,3264,1.15,22.0720720721,1.2207207207,0.355769231,9174.486486
2008-11-15,Ulaanbaatar,Meat (beef),KG,MNT,3061,1.08,22.0720720721,1.2207207207,0.355769231,8603.891892
2008-12-15,Ulaanbaatar,Meat (beef),KG,MNT,2992,1.05,22.0720720721,1.2207207207,0.355769231,8409.945946
2009-01-15,Ulaanbaatar,Meat (beef),KG,MNT,3019,1.06,4.2435424354,1.0424354244,0.434294872,6951.498155
2009-02-15,Ulaanbaatar,Meat (beef),KG,MNT,3080,1.09,4.2435424354,1.0424354244,0.434294872,7091.95572
